,azure_score
0,0.5  
1,0.837
2,0.5  
3,0.958
4,0.5  
5,0.768
6,0.907
7,0.214
8,0.5  
9, 0.82
10, 0.77
11, 0.11
12, 0.5 
13, 0.94
14, 0.5 
15, 0.87
16, 0.5 
17, 0.16
18, 0.95
19, 0.91
20, 0.5 
21, 0.83
22, 0.5 
23, 0.80
24, 0.74
25, 0.84
26, 0.86
27, 0.75
28, 0.79
29, 0.74
30, 0.94
31, 0.74
32, 0.5 
33, 0.74
34, 0.5 
35, 0.80
36, 0.5 
37, 0.19
38, 0.5 
39, 0.5 
40, 0.5 
41, 0.83
42, 0.5 
43, 0.5 
44, 0.79
45, 0.5 
46, 0.5 
47, 0.79
48, 0.5 
49, 0.5 
50, 0.92
51, 0.96
52, 0.20
53, 0.89
54, 0.84
55, 0.21
56, 0.18
57, 0.80
58, 0.81
59, 0.75
60, 0.91
61, 0.5 
62, 0.26
63, 0.88
64, 0.24
65, 0.99
66, 0.97
67, 0.96
68, 0.91
69, 0.86
70, 0.70
71, 0.5 
72, 0.93
73, 0.5 
74, 0.80
75, 0.75
76, 0.78
77, 0.69
78, 0.94
79, 0.92
80, 0.88
81, 0.5 
82, 0.22
83, 0.89
84, 0.91
85, 0.24
86, 0.77
87, 0.5 
88, 0.5 
89, 0.94
90, 0.86
91, 0.5 
92, 0.84
93, 0.84
94, 0.5 
95, 0.69
96, 0.5 
97, 0.5 
98, 0.93
99,: 0.8
100,: 0.5
101,: 0.8
102,: 0.7
103,: 0.7
104,: 0.9
105,: 0.8
106,: 0.5
107,: 0.8
108,: 0.9
109,: 0.9
110,: 0.9
111,: 0.8
112,: 0.5
113,: 0.5
114,: 0.5
115,: 0.9
116,: 0.9
117,: 0.8
118,: 0.8
119,: 0.8
120,: 0.8
121,: 0.8
122,: 0.5
123,: 0.8
124,: 0.9
125,: 0.8
126,: 0.8
127,: 0.5
128,: 0.5
129,: 0.5
130,: 0.5
131,: 0.7
132,: 0.5
133,: 0.9
134,: 0.2
135,: 0.5
136,: 0.9
137,: 0.9
138,: 0.7
139,: 0.5
140,: 0.5
141,: 0.8
142,: 0.8
143,: 0.1
144,: 0.5
145,: 0.5
146,: 0.6
147,: 0.5
148,: 0.5
149,: 0.9
150,: 0.9
151,: 0.5
152,: 0.1
153,: 0.5
154,: 0.1
155,: 0.7
156,: 0.5
157,: 0.2
158,: 0.7
159,: 0.8
160,: 0.5
161,: 0.7
162,: 0.7
163,: 0.8
164,: 0.7
165,: 0.9
166,: 0.8
167,: 0.8
168,: 0.5
169,: 0.5
170,: 0.2
171,: 0.5
172,: 0.8
173,: 0.9
174,: 0.8
175,: 0.8
176,: 0.8
177,: 0.9
