,watson_score
0,0.0
1,0.74
2,0.0
3,0.75
4,-0.7
5,0.0
6,0.86
7,0.60
8,0.93
9,0.68
10,0.89
11,-0.3
12,0.72
13,0.90
14,0.67
15,0.73
16,0.45
17,-0.4
18,0.88
19,0.91
20,0.74
21,0.45
22,0.50
23,0.62
24,0.58
25,0.30
26,0.62
27,0.61
28,0.73
29,-0.5
30,0.98
31,0.89
32,0.62
33,0.70
34,-0.3
35,0.91
36,0.60
37,0.79
38,0.70
39,0.87
40,-0.5
41,0.58
42,-0.3
43,-0.2
44,-0.6
45,0.59
46,0.74
47,0.89
48,0.79
49,0.74
50,0.97
51,0.78
52,0.34
53,0.96
54,0.93
55,0.81
56,0.40
57,0.70
58,0.81
59,0.30
60,0.73
61,0.51
62,-0.8
63,0.87
64,0.42
65,0.95
66,0.96
67,0.98
68,0.79
69,0.48
70,0.85
71,0.47
72,0.45
73,0.62
74,0.59
75,-0.6
76,0.64
77,0.52
78,0.98
79,0.86
80,0.87
81,0.79
82,0.0
83,0.81
84,0.79
85,-0.9
86,0.61
87,0.62
88,-0.4
89,0.98
90,0.77
91,-0.5
92,0.0
93,0.40
94,0.75
95,-0.3
96,0.63
97,0.62
98,0.98
99,0.70
100,0.75
101,0.94
102,-0.3
103,-0.5
104,0.87
105,-0.4
106,0.44
107,0.67
108,0.98
109,0.89
110,0.78
111,0.43
112,0.81
113,0.27
114,-0.2
115,0.86
116,0.71
117,0.64
118,0.50
119,0.67
120,-0.5
121,0.62
122,0.97
123,0.45
124,0.98
125,0.83
126,0.70
127,-0.3
128,0.41
129,0.39
130,0.74
131,0.66
132,0.76
133,0.80
134,0.58
135,0.33
136,0.88
137,0.98
138,0.45
139,0.47
140,0.52
141,0.65
142,-0.2
143,-0.5
144,0.60
145,0.46
146,0.56
147,-0.6
148,0.82
149,0.98
150,0.98
151,0.32
152,0.79
153,-0.4
154,0.0
155,0.61
156,0.0
157,0.47
158,0.53
159,0.82
160,0.96
161,0.80
162,-0.3
163,0.87
164,0.78
165,0.73
166,0.93
167,0.81
168,-0.7
169,-0.5
170,0.58
171,-0.2
172,0.54
173,0.52
174,0.71
175,0.73
176,0.98
177,0.91
178,0.97
